the_geom,OBJECTID,Loc,Borough,Street_Nam,From_Stree,To_Street,Iex,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD,May23_AM,May23_pM,May23_MD,Oct23_AM,Oct23_PM,Oct23_MD,June24_AM,June24_PM,June24_MD,Oct24_AM,Oct24_PM,Oct24_MD,May25_AM,May25_PM,May25_MD
POINT (-74.00384095197924 40.740305392828965),55,55,Manhattan,West 14th Street,Hudson Street,Eighth Avenue,Y,"1,540","5,089","2,960","1,902","5,474","2,337","1,520","6,274","2,701","1,568","5,664","2,936","1,360","6,047","2,485","2,047","6,649","3,890","1,458","6,221","3,057","2,159","7,055","3,974","1,800","8,911","4,963","1,949","11,166","3,514","2,106","4,993","4,335","2,024","9,462","5,285","2,078","9,234","5,257","2,176","9,180","4,950","5,272","11,953","6,519","2,032","8,263","4,419","1,935","8,995","4,635","2,075","8,066","4,751","2,150","8,456","6,081","2,193","8,523","4,507","1,769","8,995","5,170","2,128","9,186","3,972","2,252","9,369","5,848","1,841","7,133","5,444","2,168","8,860","4,932",724,"1,975","1,888","1,306","5,804","4,094","1,507","4,782","4,795","1,853","6,716","5,613",0,0,"5,276","2,128","7,705","4,005","2,357","7,174","4,070","2,319","7,574","4,210","2,779","7,843",3999,"1,929","7,523","4,792"
POINT (-73.93434784508338 40.84958094443508),56,56,Manhattan,West 181st Street,St. Nicholas Avenue,Wadsworth Avenue,Y,"1,305","6,516","3,281","1,685","5,562","4,725","1,071","7,420","4,174","1,238","7,394","4,432","1,032","6,680","4,881","1,212","8,747","3,926","1,448","8,364","4,679","1,212","7,940","5,056","1,375","8,257","4,476","1,198","8,012","5,040","1,307","5,254","5,567","1,245","6,921","7,461","1,266","7,442","5,704","1,321","7,409","6,194","1,372","7,225","4,492","1,399","7,357","6,125","1,380","7,230","4,512","1,428","7,544","6,184","1,380","7,476","4,671","1,422","7,555","6,295","1,343","7,407","1,343","1,386","7,668","6,307","1,549","7,984","4,937","1,520","8,036","4,903","1,196","6,010","4,361",589,"2,443","3,453",789,"4,105","2,716","1,079","4,346","6,786","1,130","5,131","3,257","1,183","4,182","3,620","1,059","4,811","2,195","1,044","4,071","3,708",998,"5,110","2,809","1,237","5,453",3794,"1,164","5,570","3,615"
POINT (-73.98934552114228 40.75045405486473),57,57,Manhattan,West 34th Street,Broadway,Seventh Avenue,Y,"12,000","28,123","12,528","10,326","32,673","14,201","12,391","32,736","14,646","11,051","29,019","16,268","12,690","21,943","13,971","11,941","27,764","12,044","13,421","30,544","10,055","10,010","30,103","9,900","9,969","31,701","14,182","11,279","27,249","11,137","13,645","18,969","13,790","13,348","26,865","13,036","11,672","28,348","15,594","12,232","30,743","13,107","15,806","29,150","10,806","13,152","25,591","12,222","12,297","26,852","12,297","10,197","25,687","11,670","13,835","33,102","12,029","9,272","25,365","15,233","11,874","25,185","10,944","14,215","25,734","17,262","13,511","30,643","12,904","14,021","31,953","13,000","12,694","28,606","11,452","3,099","8,568","5,287","4,199","15,230","7,422","5,946","16,622","8,475","8,508","20,529","9,122","8,378","20,440","9,996","6,837","19,358","7,136","6,765","17,587","8,422","7,885","22,089","8,571","8,940","24,359",10803,"7,514","22,446","7,564"
POINT (-73.98335689692979 40.752843606340384),58,58,Manhattan,West 40th Street,Avenue of the Americas,Fifth Avenue,Y,"5,454","11,571","2,639","5,284","11,208","2,606","6,019","10,301","2,175","6,258","8,616","2,905","5,064","10,654","1,664","6,160","13,985","2,136","6,479","11,224","2,868","7,467","12,457","2,417","5,540","11,750","2,943","6,362","11,933","1,973","8,340","8,884","2,616","7,269","14,127","3,055","5,930","12,133","2,321","6,499","12,234","3,167","6,020","12,837","1,693","7,673","14,418","2,779","7,085","13,064","2,413","6,415","13,370","2,258","7,257","20,533","3,407","6,089","13,479","2,753","5,923","11,981","3,672","7,553","16,774","3,818","7,334","16,566","2,921","7,971","14,682","3,718","6,275","13,456","2,734","1,214","2,049","1,252","2,136","3,908","1,660","2,731","6,873","2,402","3,830","9,637","3,431","3,984","8,986","2,885","3,653","9,758","2,877","4,276","13,693","4,533","4,149","10,400","3,272","4,145","10,814",4894,"4,287","10,620","3,488"
POINT (-73.98017962622333 40.757338486389926),59,59,Manhattan,West 47th Street,Avenue of the Americas,Fifth Avenue,N,"3,897","14,939","2,201","3,043","14,487","1,475","4,899","13,996","1,401","2,953","9,805","2,389","3,463","10,636","2,119","3,647","10,736","1,862","3,972","12,733","1,765","3,941","8,928","1,736","5,618","11,433","2,623","3,348","9,064","1,763","3,620","8,316","2,021","3,450","10,003","2,170","4,463","11,828","2,227","4,002","12,205","1,978","4,090","13,502","2,681","5,009","12,687","2,559","4,041","12,351","2,296","4,128","11,969","1,973","5,117","14,037","2,772","4,758","13,021","2,720","3,585","12,022","2,121","2,696","12,024","2,551","3,371","9,199","1,904","3,324","10,349","2,330",0,0,0,"1,169",0,0,"1,036","3,123",833,0,0,0,"2,620","6,342","2,386","2,021","5,863","1,876","3,708","8,899","1,894","3,246","9,229","1,493","2,650","8,200","1,624","3,309","7,497",2999,"2,685","9,293","2,746"
POINT (-73.96829307507049 40.755190220332366),60,60,Manhattan,Seco Avenue,50th Street,51st Street,Y,"2,335","5,371","2,066","2,259","5,431","2,047","2,077","4,957","1,776","2,002","3,574","2,202","1,605","4,840","1,933","1,669","4,029","1,493","2,091","4,311","2,690","2,162","4,299","2,031","1,853","4,564","2,391","2,008","4,548","2,181","2,159","3,654","2,578","2,527","5,238","2,767","2,425","5,912","2,277","2,415","5,529","3,284","2,507","5,358","2,405","2,660","4,863","1,616","2,257","5,259","1,872","2,534","6,619","1,894","2,255","4,484","2,836","2,521","5,715","2,751","2,604","5,938","2,490","1,850","4,501","1,904","2,971","7,314","2,988","2,532","5,394","2,708","2,527","5,494","2,982",804,"2,228","2,713","1,520","4,481","1,720","1,747","4,237","3,164","1,905","4,746","2,753","1,760","5,035","2,785","1,812","4,589","2,202","1,942","4,753","2,647","1,834","4,641","2,057","1,989","4,954",3002,"1,985","5,276","3,010"
POINT (-73.97053303866996 40.75613758564416),61,61,Manhattan,Third Avenue,50th Street,51st Street,N,"5,504","8,447","2,827","6,329","11,003","2,475","4,733","10,036","2,296","5,547","15,473","2,501","3,804","9,823","2,537","5,516","11,033","2,466","5,302","9,590","2,648","2,350","7,303","2,373","5,849","11,011","3,397","6,198","10,387","2,777","5,073","6,995","2,766","5,778","11,225","2,933","5,793","11,707","2,738","6,457","12,336","3,442","5,237","7,708","2,825","4,063","7,625","2,312","5,825","11,919","2,274","5,920","12,416","2,473","5,016","10,549","2,962","4,837","8,838","2,656","5,965","12,548","2,926","5,148","11,761","2,136","5,999","11,973","2,592","6,140","9,956","3,119",0,0,0,"1,465","2,576","1,659","2,642","6,218","1,411","2,623","4,716","2,445","3,496","6,710","2,340","3,519","6,646","2,736","3,477","7,243","1,972","3,608","6,631","2,038","4,879","7,692","2,363","4,494","8,090",3089,"4,056","7,901","2,643"
POINT (-73.97213382742112 40.756810835163854),62,62,Manhattan,Lexington Avenue,50th Street,51st Street,N,"5,730","10,557","4,805","5,124","10,010","2,600","5,659","12,883","2,968","6,153","20,071","3,229","3,614","7,280","3,131","4,243","9,235","2,768","5,812","12,143","2,781","4,941","6,260","2,481","6,003","12,261","2,708","4,610","9,722","3,331","5,610","7,253","3,075","6,127","11,630","3,781","4,876","9,020","3,524","6,174","11,573","3,613","6,038","13,374","4,716","7,870","13,083","3,056","7,312","13,958","3,041","5,822","11,681","2,816","3,851","10,651","3,776","4,532","10,213","2,900","6,508","12,931","3,247","5,614","9,926","2,480","5,786","13,307","3,289","5,127","10,525","2,743",0,0,0,860,"1,217",831,"2,040","2,862","1,550","2,806","4,888","1,932","4,223","7,193","2,060","3,690","7,378","2,345","3,397","7,220","1,871","5,253","9,234","2,302","5,759","9,392","2,448","5,255","10,111",3072,"4,911","8,780","2,503"
POINT (-73.97385284104773 40.75753624831215),63,63,Manhattan,Park Avenue,50th Street,51st Street,Y,"6,824","10,653","2,025","7,868","12,535","1,137","5,201","10,800","1,113","6,059","18,973","1,460","4,068","8,087","1,464","5,358","10,971","1,560","5,342","10,497","1,471","4,100","10,317","1,538","5,118","9,773","1,598","6,862","9,879","1,985","5,774","6,601","1,378","6,951","13,358","2,125","6,103","10,628","1,534","6,458","11,376","2,239","6,896","12,018","1,897","4,229","8,301","1,001","7,063","10,745","1,730","6,279","11,439","1,405","4,639","10,165","1,969","6,021","9,465","1,811","7,630","13,654","1,362","5,576","10,725",895,"5,166","9,687","1,209","5,194","10,011","1,328","6,202","10,611","1,111",835,"1,224",643,"1,587","2,947",729,"2,855","4,556",888,"4,136","7,595","1,064","4,032","7,409","1,378","4,116","7,135",952,"4,331","8,308","1,278","5,509","10,255",617,"5,045","10,500",1303,"5,409","9,759","1,247"
POINT (-73.97536263666144 40.75817343083521),64,64,Manhattan,Madison Avenue,50th Street,51st Street,N,"4,204","9,307","3,297","3,997","9,188","2,239","2,407","5,634","2,144","3,139","8,742","1,643","2,498","7,990","2,281","4,161","9,773","4,224","3,589","9,460","2,104","2,451","6,184","2,054","3,694","8,962","2,678","3,582","8,710","4,161","3,903","6,394","2,539","3,810","9,559","2,740","3,806","9,398","2,004","4,026","11,649","2,676","3,943","8,762","2,568","3,999","9,766","1,974","3,422","10,220","2,685","4,049","10,719","1,974","4,156","9,431","2,556","3,384","9,498","2,059","3,733","10,241","2,080","4,032","9,340","1,479","3,510","9,823","2,362","4,203","10,063","2,649",0,0,0,793,"1,440",868,"1,381","3,195","1,050","1,920","3,983","1,314","2,967","5,806","1,884","3,051","6,359","2,074","3,578","7,410","2,895","4,111","7,845","2,204","4,746","9,105","1,681","3,914","7,380",2019,"4,347","9,599","2,115"
POINT (-73.97697246269053 40.75885135958746),65,65,Manhattan,Fifth Avenue,50th Street,51st Street,N,"5,565","18,855","12,954","4,759","14,718","11,866","5,685","28,077","16,851","5,006","20,879","14,623","3,770","25,268","11,494","5,019","20,562","11,446","4,360","28,429","10,440","3,503","16,915","13,044","4,424","24,803","11,311","5,211","18,865","13,084","3,886","16,819","12,325","4,642","25,523","16,286","4,375","20,567","13,542","5,217","20,548","11,730","4,757","22,388","16,189","3,900","16,284","10,995","5,111","23,968","17,081","3,311","12,523","10,262","5,069","23,382","15,398","6,371","20,399","14,273","3,869","17,620","14,224","5,221","22,146","15,522","3,426","15,500","10,479","5,498","25,452","13,558",0,0,0,750,"2,764","4,004","1,368","6,021","6,181","2,170","10,583","9,139","3,387","16,673","12,336","3,400","9,090","14,168","3,091","16,049","15,490","3,173","15,613","13,164","4,160","18,178","10,729","3,554","14,834",15831,"3,073","16,341","10,009"
POINT (-73.98019868261785 40.76021178450935),66,66,Manhattan,Sixth Avenue,50th Street,51st Street,N,"8,288","17,222","7,527","9,097","20,504","14,386","8,627","23,153","7,523","7,647","23,605","7,729","4,880","14,500","5,385","8,591","25,013","8,340","7,753","22,076","7,042","7,565","23,463","6,787","7,109","17,964","6,532","6,353","16,219","6,910","5,885","11,446","4,718","6,755","18,750","5,962","7,344","21,852","9,578","8,653","20,989","8,928","6,754","20,361","8,167","7,757","18,925","5,550","8,382","19,830","7,573","7,899","22,568","6,896","8,539","20,057","8,095","8,451","20,123","8,578","9,078","21,417","7,852","7,749","17,784","7,483","8,719","31,236","5,443","8,352","19,964","3,591",0,0,0,"1,150","1,933","2,279","2,273","6,380","2,872","3,473","8,744","4,826","5,146","13,784","9,144","5,356","12,850","6,196","5,026","14,461","4,957","4,903","15,277","7,390","5,359","14,828","6,241","5,889","16,631",8475,"7,702","15,772","6,392"
POINT (-73.98303507483828 40.76140611887666),67,67,Manhattan,Seventh Avenue,50th Street,51st Street,N,"4,490","9,683","9,375","4,952","13,179","6,120","6,100","18,254","7,303","6,446","20,666","9,077","4,052","11,765","5,383","5,238","21,134","8,703","4,683","18,116","5,245","4,730","18,128","4,951","3,580","12,448","4,956","5,207","11,867","6,135","4,125","8,700","6,298","5,521","15,077","6,800","5,266","14,066","6,575","4,947","12,929","5,974","4,404","13,341","8,216","4,307","13,090","6,401","4,661","14,752","7,617","6,388","13,831","6,692","5,324","14,088","6,798","5,972","14,583","7,043","6,066","12,107","5,963","5,100","13,429","6,408","5,689","15,258","5,905","5,643","15,681","7,179",0,0,0,734,"1,620",0,"1,033","3,828","2,431","2,168","5,802","4,210","3,722","11,165","5,535","3,630","9,524","5,630","3,577","10,946","5,923","3,313","10,249","6,157","4,630","11,175","6,101","3,971","11,789",6283,"3,784","11,249","4,286"
POINT (-73.98383919698608 40.76174395517826),68,68,Manhattan,Broadway,50th Street,51st Street,Y,"3,651","11,214","9,134","4,158","12,401","9,352","2,973","11,426","7,308","4,316","14,026","8,443","3,151","8,475","6,386","3,934","11,771","8,480","3,893","12,065","5,874","4,222","13,896","6,784","3,883","13,185","5,734","3,680","11,856","5,699","3,337","9,640","7,974","5,221","13,664","7,514","3,744","13,639","9,366","3,841","13,493","7,740","3,763","16,899","7,208","3,693","9,794","6,292","3,711","15,263","7,523","5,050","13,880","7,486","4,761","16,986","7,928","5,458","15,559","7,641","4,902","16,330","6,214","6,000","17,338","9,274","2,987","10,248","7,929","4,564","14,546","6,917","3,885","15,193","7,587",697,"1,823","1,366","1,284","4,800","2,585","2,015","6,078","4,380","3,065","12,216","7,095","2,872","10,477","6,349","2,223","9,058","5,037","3,290","10,533","7,122","2,789","11,525","5,894","3,228","11,656",8196,"2,505","8,786","7,857"
POINT (-73.98589867014988 40.76257065006476),69,69,Manhattan,Eighth Avenue,50th Street,51st Street,N,"2,817","7,362","5,118","3,971","8,561","5,391","3,752","10,656","5,858","4,184","12,792","7,798","3,054","9,975","4,793","3,549","12,643","4,837","3,513","10,332","4,192","3,616","11,171","4,140","3,465","11,368","4,276","3,626","9,549","5,309","3,403","7,429","5,619","3,834","9,893","5,097","3,858","12,261","6,363","4,311","12,194","6,721","4,178","15,305","8,567","3,459","12,050","5,719","3,675","12,228","8,666","4,543","13,075","4,924","4,446","16,529","7,359","4,669","16,089","6,486","4,816","16,366","7,899","4,829","12,806","4,777","4,365","12,765","7,613","4,354","12,501","7,489",0,0,0,"1,357","3,366","2,300","1,959","5,948","3,084","2,705","7,814","5,397","3,460","10,776","6,970","3,669","9,959","6,291","2,980","9,555","4,487","3,586","9,607","6,583","3,566","9,462","7,512","3,690","10,873",6696,"3,697","11,258","6,203"
POINT (-73.99694382805035 40.7673124325193),70,70,Manhattan,Hudson River Greenway,50th Street,51st Street,N,190,382,310,129,342,363,90,103,186,194,234,216,27,192,64,190,269,436,280,453,201,273,313,469,307,563,487,233,141,"1,515",255,118,"1,948",363,494,832,291,760,"2,519",362,639,"1,043",211,528,985,507,593,"1,051",241,620,631,281,694,733,244,619,625,339,553,483,255,537,584,268,649,950,249,667,481,389,458,901,0,0,0,226,266,542,412,192,644,442,762,754,515,865,704,318,314,934,460,960,151,419,550,"1,195",705,729,380,683,951,990,520,"1,020",947
