the_geom,OBJECTID,Loc,Borough,Street_Nam,From_Stree,To_Street,Iex,May07_AM,May07_PM,May07_MD,Sept07_AM,Sept07_PM,Sept07_MD,May08_AM,May08_PM,May08_MD,Sept08_AM,Sept08_PM,Sept08_MD,May09_AM,May09_PM,May09_MD,Sept09_AM,Sept09_PM,Sept09_MD,May10_AM,May10_PM,May10_MD,Sept10_AM,Sept10_PM,Sept10_MD,May11_AM,May11_PM,May11_MD,Sept11_AM,Sept11_PM,Sept11_MD,May12_AM,May12_PM,May12_MD,Sept12_AM,Sept12_PM,Sept12_MD,May13_AM,May13_PM,May13_MD,Sept13_AM,Sept13_PM,Sept13_MD,May14_AM,May14_PM,May14_MD,Sept14_AM,Sept14_PM,Sept14_MD,May15_AM,May15_PM,May15_MD,Sept15_AM,Sept15_PM,Sept15_MD,May16_AM,May16_PM,May16_MD,Sept16_AM,Sept16_PM,Sept16_MD,May17_AM,May17_PM,May17_MD,Sept17_AM,Sept17_PM,Sept17_MD,May18_AM,May18_PM,May18_MD,Sept18_AM,Sept18_PM,Sept18_MD,May19_AM,May19_PM,May19_MD,Oct20_AM,Oct20_PM,Oct20_MD,May21_AM,May21_PM,May21_MD,Oct21_AM,Oct21_PM,Oct21_MD,May22_AM,May22_pM,May22_MD,Oct22_AM,Oct22_PM,Oct22_MD,May23_AM,May23_pM,May23_MD,Oct23_AM,Oct23_PM,Oct23_MD,June24_AM,June24_PM,June24_MD,Oct24_AM,Oct24_PM,Oct24_MD,May25_AM,May25_PM,May25_MD
POINT (-73.97514418621735 40.761353610911776),45,45,Manhattan,Fifth Avenue,East 54th Street,East 55th Street,Y,"3,081","16,471","13,891","3,432","23,840","11,707","3,974","25,732","18,273","4,089","20,929","16,307","3,385","20,508","10,507","8,483","22,495","11,485","4,013","18,701","12,727","3,771","24,601","12,752","3,285","26,106","12,370","3,968","18,993","15,946","3,189","14,533","13,555","3,472","22,800","14,405","3,858","20,485","15,398","3,951","20,202","14,353","3,616","20,639","16,089","3,980","20,528","15,513","4,113","26,831","12,417","3,637","20,999","11,320","4,443","22,351","12,712","4,360","22,274","12,247","6,445","23,214","11,394","2,985","19,551","11,576","6,266","23,182","16,299","3,689","18,048","16,022","3,892","16,971","10,229","1,085","3,180","2,704","1,669","8,766","4,615","1,966","8,098","6,927","3,139","12,370","8,790","3,142",0,"10,967","3,488","13,929","9,182","3,445","14,804","12,807","1,728","11,567","8,747","3,362","13,524",10109,"3,378","15,485","9,925"
POINT (-73.99451531515767 40.71493552371378),46,46,Manhattan,Forsyth Street,Canal Street,Division Street,N,"1,373","7,481","4,703","1,290","3,506","3,583","1,190","4,763","4,504","1,598","5,879","5,347","1,269","5,187","4,981","2,184","6,998","3,800","1,353","5,832","4,961","2,660","4,606","3,443","1,150","5,796","3,298","1,217","5,186","2,888","1,153","3,570","4,359","1,537","5,951","4,342","1,586","4,688","3,965","1,671","4,954","3,869","1,552","5,110","3,810","1,517","5,461","3,043","1,297","6,222","3,029","1,451","5,129","2,811","1,258","4,788","3,174","1,334","4,059","2,994","1,391","6,610","4,469","1,336","3,305","2,866","1,509","6,451","4,437","1,378","5,535","3,962",0,0,0,551,"1,578","1,929",684,"2,523","2,255",844,"2,607","1,880","1,011","2,462","2,152","1,013","2,465","2,741",971,"2,889","1,354",976,"2,631","3,072","1,141","2,881","1,774","1,062","3,104",2561,971,"2,388","2,785"
POINT (-74.0084036486757 40.71055376746076),47,47,Manhattan,Fulton Street,Broadway,Nassau Street,Y,"4,530","9,162","2,495","3,446","5,498","1,835","4,614","9,415","3,553","5,041","9,322","2,043","5,539","8,901","2,464","2,544","6,708","2,847","3,922","7,398","2,319","4,280","8,945","4,578","3,881","7,535","3,855","4,137","10,248","4,274","4,192","6,091","3,172","4,635","9,180","3,327","4,543","8,727","3,473","4,216","7,922","3,202","3,425","7,732","2,698","3,457","7,212","1,856","3,595","8,002","2,259","4,127","7,037","2,706","3,460","8,459","3,542","4,039","6,740","3,425","4,637","9,223","4,792","3,625","6,414","3,704","3,191","6,681","4,242","3,566","7,838","4,297","3,712","7,632","3,569","1,284","3,050","2,051","1,869","5,016","2,536","2,159","4,357","2,634","3,055","6,634","3,443","2,416","3,954","4,131","3,959","7,477","4,127","3,665","9,336","4,176","2,566","5,882","2,435","2,810","5,509",3862,"2,871","6,663","4,456"
POINT (-74.00451806937401 40.70806272095774),48,48,Manhattan,Fulton Street,Cliff Street,Pearl Street,N,"2,593","6,755","3,167","1,902","5,113","2,637","2,112","8,540","4,686","2,596","7,309","2,888","3,544","7,324","2,992","2,098","5,479","2,685","1,982","6,308","2,593","2,647","7,119","2,502","2,633","8,206","5,151","2,091","5,561","3,650","2,611","4,285","3,775","2,760","7,767","3,652","2,887","7,392","4,899","2,732","5,578","3,251","2,466","5,850","2,506","2,963","7,062","2,510","2,584","5,436","3,590","3,251","5,359","3,257","3,207","9,604","3,429","2,894","7,597","3,555","1,977","4,998","4,729","2,846","7,266","2,938","2,610","6,366","2,705","2,940","6,723","4,325",0,0,0,733,"1,631",0,"1,041","4,049","2,207","1,430","3,427","2,018","1,705","4,818","2,502","1,747","4,847","3,254","1,920","5,423","3,553","1,526","3,224","1,494","1,520","4,866","2,674","2,022","5,622",3868,"2,110","5,923","4,295"
POINT (-73.96888735867235 40.761264607952285),49,49,Manhattan,Lexington Avenue,East 57th Street,East 58th Street,Y,"4,502","21,634","5,687","4,251","11,296","5,302","4,034","20,893","6,619","4,231","11,009","5,962","4,122","8,661","5,705","3,272","10,679","4,786","4,123","11,641","4,676","5,082","11,880","4,208","3,742","12,143","5,814","3,908","11,014","4,528","4,678","8,412","4,332","4,587","12,345","4,900","4,138","12,682","5,924","4,566","11,639","5,661","3,800","14,129","5,956","4,298","11,716","5,628","3,205","8,111","5,894","5,870","18,125","3,484","4,931","12,301","4,583","4,625","12,007","4,892","4,489","12,400","3,894","4,656","10,732","4,176","4,218","9,699","4,155","3,887","10,451","3,828","4,483","10,685","3,991","1,490","3,093","2,031","2,293","5,427","1,853","3,158","6,341","2,980","3,350","7,242","3,203","3,352","7,207","3,646","3,083","6,930","3,330","3,298","7,618","3,511","3,386","7,100","2,621","3,508","7,213",3330,"3,208","7,351","3,007"
POINT (-73.96568512678532 40.77144062263456),50,50,Manhattan,Madison Avenue,East 71st Street,East 72 Street,N,667,"3,760","3,090",680,"3,204","2,495",571,"4,254","3,073","1,014","2,687","4,099",677,"1,726","2,088",635,"3,250","1,817",706,"2,918","2,830",832,"3,114","2,340",712,"3,602","2,895",611,"2,998","2,159",837,"2,238","2,492",966,"3,899","3,283",729,"3,183","3,102",858,"3,034","2,455",722,"3,912","2,633",739,"2,983","1,630",760,"3,247",760,"2,235","7,220","2,690",718,"2,988","2,480","2,142","6,911","2,160",624,"2,681","2,185",786,"2,495","1,711",770,"3,779","1,863",837,"3,191","1,510",0,0,0,530,"1,451","1,326",591,"2,316","1,408",0,0,0,742,"2,692","2,057",792,"2,281","2,846",735,"2,907","1,252",740,"2,183","3,619",659,"2,166","1,325",842,"2,415",3172,865,"2,399","2,902"
POINT (-73.99134284997088 40.749996387066574),51,51,Manhattan,Seventh Avenue,West 32 Street,West 33rd Street,Y,"10,084","25,156","9,261","8,803","23,825","10,476","7,566","23,312","11,362","8,407","24,311","11,704","7,356","29,526","12,533","13,552","27,632","11,537","12,189","22,390","10,615","8,422","22,613","10,902","8,954","23,314","10,625","11,445","23,015","12,765","10,782","18,101","12,342","13,647","28,208","10,690","11,898","26,609","11,146","12,365","28,392","11,374","13,677","26,062","11,781","12,246","27,744","10,281","17,191","35,990","50,827","9,103","25,197","10,439","11,410","31,856","16,847","11,099","38,885","13,500","9,740","24,343","10,861","9,523","23,193","10,593","12,171","29,618","9,733","14,126","30,194","13,037","11,623","24,186","11,541","2,625","5,217",0,"4,887","9,115","5,752","5,912","13,607",0,"6,546","14,615","6,300","4,877","13,029","5,869","5,005","12,508","6,010","1,356","2,386","1,139","6,347","15,261","5,180","7,319","16,054",8082,"7,327","13,343","5,264"
POINT (-74.01257537541983 40.708351612740366),52,52,Manhattan,Trinity Place,Rector Street,Thames Street,N,"4,552","7,164","2,286","4,982","14,290","9,826","4,814","7,983","2,754","3,362","5,228","1,688","2,770","4,090","2,393","4,886","5,836","2,634","2,224","3,889","1,808","3,107","4,424","2,570","2,629","4,933","2,270","2,701","4,312","3,636","2,283","3,602","2,734","2,821","4,897","3,033","2,216","4,530","3,238","2,512","4,332","2,627","2,431","4,504","3,980","2,346","5,095","1,738","3,007","5,964","3,744","1,527","5,592","2,104","2,246","4,073","2,607","2,344","4,403","3,024","2,261","4,475","1,754","2,306","4,271","2,993","1,554","4,381","1,738","1,818","4,631","3,062",0,0,0,447,517,535,644,"1,373",912,926,"1,566","1,319",987,"2,222","1,780","1,275","1,740","1,357","1,271","2,746","1,168","5,179","13,394","6,199","1,310","2,880","1,763","1,443","2,484",2023,"1,436","2,919","1,558"
POINT (-74.01098647762808 40.70733537559069),53,53,Manhattan,Wall Street,New Street,Nassau Street,Y,"3,784","5,560","2,733","8,065","14,469","8,295","6,842","11,264","4,814","7,476","15,167","4,035","6,149","9,608","4,402","3,506","12,635","5,695","6,247","12,186","3,755","6,885","14,303","4,636","6,485","13,176","5,906","6,219","13,724","6,742","6,004","7,844","6,167","6,733","11,023","5,284","5,354","11,111","5,430","5,405","10,140","5,763","6,072","10,741","5,827","7,981","11,310","4,959","5,681","10,717","5,430","6,547","9,135","6,261","6,759","14,575","5,836","6,445","11,300","6,516","5,733","10,277","5,651","5,792","10,494","6,854","4,643","10,661","4,623","4,560","9,628","5,572","5,453","9,823","5,141",0,0,0,"2,253","4,265","2,048","2,939","5,154","2,849","3,530","7,325","4,243","3,644","6,021","4,247","3,858","8,388","3,011",0,0,0,"4,313","8,110","4,822","3,987","8,065",5247,"4,050","9,688","5,046"
POINT (-73.94703781905247 40.80842973710492),54,54,Manhattan,West 125th Street,Adam C. Powell Boulevard,Lenox Avenue,Y,"1,706","7,519","3,949","1,638","7,546","5,084","1,921","7,831","5,219","2,152","7,681","4,484","1,277","8,561","3,984","2,398","7,903","5,492","2,042","7,855","7,142","2,388","8,710","6,443","2,231","8,165","6,800","2,582","8,638","6,698","1,900","5,255","5,603","2,126","8,851","5,540","2,121","9,253","5,586","2,476","9,667","5,256","2,123","8,114","5,767","1,985","7,754","5,434","2,308","8,328","5,792","2,070","8,046","5,588","2,129","8,010","5,791","2,077","8,199","5,483","2,227","7,957","5,857","1,979","8,087","5,486","2,144","8,074","5,852","2,266","7,664","4,762","1,448","8,740","5,437",906,"5,290","4,421",963,"3,669","3,651","2,715","8,882","5,037","1,337","5,751","3,881","1,266","5,105","3,920","1,201","6,217","2,497","2,647","8,200","4,284","1,867","7,708","4,390","2,259","9,288",6549,"1,830","8,976","5,125"
